"INCIDENT_NUMBER","DATE_REPORTED","DATE_OCCURED","UOR_DESC","CRIME_TYPE","NIBRS_CODE","UCR_HIERARCHY","ATT_COMP","LMPD_DIVISION","LMPD_BEAT","PREMISE_TYPE","BLOCK_ADDRESS","CITY","ZIP_CODE","ID"
"80-17-005660","2017-01-19 15:42:00","2017-01-18 20:30:00","THEFT OF SERVICES - FELONY CLASS D","THEFT/LARCENY","23H","PART I","COMPLETED","5TH DIVISION","514","RESTAURANT","6100 BLOCK DUTCHMANS LN                                     ","LOUISVILLE","40205","1183943"
"80-17-005669","2017-01-19 15:40:00","2017-01-19 15:40:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","4TH DIVISION","412","HIGHWAY / ROAD / ALLEY","600 BLOCK E OAK ST                                          ","LOUISVILLE","40203","1183944"
"80-17-005227","2017-01-18 16:32:43","2017-01-17 18:00:00","CRIMINAL MISCHIEF-2ND DEGREE","VANDALISM","290","PART II","COMPLETED","7TH DIVISION","712","CHURCH / SYNAGOGUE / TEMPLE","7700 BLOCK BARDSTOWN RD                                     ","LOUISVILLE","40291","1183945"
"80-17-004421","2017-01-15 15:21:00","2017-01-15 10:15:00","TBUT OR DISP CONTENTS FROM VEH < $500","VEHICLE BREAK-IN/THEFT","23F","PART I","COMPLETED","3RD DIVISION","334","OTHER RESIDENCE (APARTMENT/CONDO)","10300 BLOCK GREENTREE LN                                    ","LOUISVILLE","40272","1183946"
"80-17-005682","2017-01-20 10:24:14","2017-01-20 08:42:14","CRIMINAL MISCHIEF-2ND DEGREE","VANDALISM","290","PART II","COMPLETED","3RD DIVISION","331","PARKING LOT / GARAGE","3300 BLOCK RENWOOD BLVD                                     ","LOUISVILLE","40214","1183947"
"80-17-003870","2017-01-13 15:45:00","2017-01-13 15:45:00","REPORT NUMBER NOT REQUIRED","OTHER","999","","COMPLETED","2ND DIVISION","211","OTHER / UNKNOWN","300 BLOCK LOUIS COLEMAN JR DR                               ","LOUISVILLE","40212","1183955"
"80-17-005452","2017-01-18 20:20:00","2017-01-18 20:20:00","REPORT NUMBER NOT REQUIRED","OTHER","999","","COMPLETED","6TH DIVISION","624","OTHER / UNKNOWN","2200 BLOCK RICHLAND AVE                                     ","LOUISVILLE","40218","1183956"
"80-17-003052","2017-01-10 23:57:00","2017-01-10 23:57:00","TRAF CONT SUB-1ST DEG-1ST OFF-HEROIN (>= 2GMS BUT < 100G)","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","3RD DIVISION","331","RESIDENCE / HOME","6700 BLOCK CRAWFORD CROSSING PL                             ","LOUISVILLE","40258","1183957"
"80-17-003052","2017-01-10 23:57:00","2017-01-10 23:57:00","DRUG PARAPHERNALIA - BUY/POSSESS","DRUGS/ALCOHOL VIOLATIONS","35B","PART II","COMPLETED","3RD DIVISION","331","RESIDENCE / HOME","6700 BLOCK CRAWFORD CROSSING PL                             ","LOUISVILLE","40258","1183958"
"80-17-004798","2017-01-16 21:03:00","2017-01-16 21:03:00","DRUG PARAPHERNALIA - BUY/POSSESS","DRUGS/ALCOHOL VIOLATIONS","35B","PART II","COMPLETED","2ND DIVISION","225","HIGHWAY / ROAD / ALLEY","S 12TH ST / W HILL ST                                       ","LOUISVILLE","40210","1183959"
"80-17-005560","2017-01-19 10:17:00","2016-12-30 10:17:00","TBUT OR DISP FIREARM","THEFT/LARCENY","23H","PART I","COMPLETED","3RD DIVISION","323","RESIDENCE / HOME","8200 BLOCK NASH RD                                          ","LOUISVILLE","40214","1183960"
"80-17-005198","2017-01-18 15:38:00","2017-01-18 15:38:00","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","ASSAULT","13A","PART I","COMPLETED","3RD DIVISION","322","HIGHWAY / ROAD / ALLEY","ST ANTHONY CHURCH RD / WISERTOWN RD                         ","LOUISVILLE","40214","1183961"
"80-17-005198","2017-01-18 15:38:00","2017-01-18 15:38:00","CARRYING A CONCEALED DEADLY WEAPON","WEAPONS","520","PART II","COMPLETED","3RD DIVISION","322","HIGHWAY / ROAD / ALLEY","ST ANTHONY CHURCH RD / WISERTOWN RD                         ","LOUISVILLE","40214","1183962"
"80-17-005562","2017-01-19 10:05:00","2017-01-19 00:30:00","TBUT OR DISP CONTENTS FROM VEH $500 OR > BUT < $10,000","VEHICLE BREAK-IN/THEFT","23F","PART I","COMPLETED","6TH DIVISION","612","RESIDENCE / HOME","1200 BLOCK VIM DR                                           ","LOUISVILLE","40213","1183963"
"80-17-004519","2017-01-15 23:56:00","2017-01-15 23:11:00","DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT","OTHER","90Z","PART II","COMPLETED","6TH DIVISION","613","RESIDENCE / HOME","4900 BLOCK GARDEN GREEN WAY                                 ","LOUISVILLE","40218","1183964"
"80-17-005568","2017-01-19 22:14:58","2017-01-18 21:30:00","TBUT OR DISP AUTO > $500 BUT < $10,000","MOTOR VEHICLE THEFT","240","PART I","COMPLETED","4TH DIVISION","423","HIGHWAY / ROAD / ALLEY","800 BLOCK W FLORENCE AVE                                    ","LOUISVILLE","40215","1183965"
"80-17-003038","2017-01-10 20:07:00","2017-01-10 20:07:00","TRAF IN CONT SUBST 1ST DEG 2ND OR > OFFENSE  <= 2 GMS METH","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","6TH DIVISION","625","RESIDENCE / HOME","3400 BLOCK TERRIER LN                                       ","LOUISVILLE","40218","1183966"
"80-17-005337","2017-01-18 14:22:00","2017-01-18 14:22:00","TBUT OR DISP SHOPLIFTING < $500","THEFT/LARCENY","23C","PART I","COMPLETED","7TH DIVISION","735","DEPARTMENT / DISCOUNT STORE","4800 BLOCK OUTER LOOP                                       ","LOUISVILLE","40219","1183967"
"80-17-005575","2017-01-19 11:27:00","2017-01-10 20:30:00","FRAUDULENT USE OF CREDIT CARDS U/$500 W/6 MO PERIOD","FRAUD","26B","PART II","COMPLETED","8TH DIVISION","824","DEPARTMENT / DISCOUNT STORE","200 BLOCK BLANKENBAKER PKY                                  ","DOUGLASS_HILLS","40243","1183968"
"80-17-003038","2017-01-10 20:07:00","2017-01-10 20:07:00","POSS CONT SUB-3RD DEGREE--DRUG UNSPECIFIED","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","6TH DIVISION","625","RESIDENCE / HOME","3400 BLOCK TERRIER LN                                       ","LOUISVILLE","40218","1183969"
"80-17-001924","2017-01-06 20:42:00","2017-01-06 20:42:00","POSS CONT SUB-3RD DEGREE--DRUG UNSPECIFIED","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","3RD DIVISION","334","HIGHWAY / ROAD / ALLEY","9300 BLOCK STONESTREET RD                                   ","LOUISVILLE","40272","1183970"
"80-17-004325","2017-01-15 08:07:00","2017-01-15 08:07:00","DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT","OTHER","90Z","PART II","COMPLETED","4TH DIVISION","423","RESIDENCE / HOME","1600 BLOCK LONGFIELD AVE                                    ","LOUISVILLE","40215","1183973"
"80-17-004770","2017-01-16 19:49:00","2017-01-16 19:49:00","POSS CONTROLLED SUB 1ST DEGREE 1ST OFF (METHAMPHETAMINE)","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","6TH DIVISION","624","OTHER RESIDENCE (APARTMENT/CONDO)","7000 BLOCK WILDWOOD CIR                                     ","LOUISVILLE","40291","1183974"
"80-17-011030","2017-02-07 15:14:00","2017-02-07 14:00:00","TBUT OR DISP FROM BUILDING < $500","THEFT/LARCENY","23D","PART I","COMPLETED","1ST DIVISION","123","COMMERCIAL / OFFICE BUILDING","900 BLOCK W BROADWAY                                        ","LOUISVILLE","40203","1197385"
"80-17-011770","2017-02-09 19:51:00","2017-02-09 19:00:00","TERRORISTIC THREATENING 3RD DEGREE","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","424","CYBERSPACE","4000 BLOCK SOUTHERN PKY                                     ","LOUISVILLE","40214","1197386"
"80-17-011461","2017-02-08 20:05:00","2017-02-08 19:00:00","TBUT OR DISP ALL OTHERS > $500 BUT < $10,000","THEFT/LARCENY","23H","PART I","COMPLETED","3RD DIVISION","315","PARKING LOT / GARAGE","10600 BLOCK DIXIE HWY                                       ","LOUISVILLE","40272","1197389"
"80-17-011741","2017-02-09 16:17:00","2017-02-09 13:00:00","THEFT OF SERVICES - FELONY CLASS D","THEFT/LARCENY","23H","PART I","COMPLETED","2ND DIVISION","211","RESIDENCE / HOME","4100 BLOCK W MUHAMMAD ALI BLVD                              ","LOUISVILLE","40212","1197390"
"80-17-010310","2017-02-04 18:19:00","2017-02-04 18:19:00","SEE ACCIDENT MODULE","OTHER","999","","COMPLETED","4TH DIVISION","424","HIGHWAY / ROAD / ALLEY","12 I264W                                                    ","LOUISVILLE","40213","1197391"
"80-17-006975","2017-01-24 09:12:00","2017-01-24 09:12:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","5TH DIVISION","521","BANK / SAVINGS & LOAN","N BIRCHWOOD AVE / BROWNSBORO RD                             ","LOUISVILLE","40206","1197392"
"80-17-011840","2017-02-10 17:08:38","2017-02-10 08:34:38","TBUT OR DISP CONTENTS FROM VEH < $500","VEHICLE BREAK-IN/THEFT","23F","PART I","COMPLETED","4TH DIVISION","424","PARKING LOT / GARAGE","400 BLOCK FARMINGTON AVE                                    ","LOUISVILLE","40209","1197393"
"80-17-011334","2017-02-08 13:55:00","2017-02-08 13:55:00","NARC INVESTIGATION PENDING","OTHER","999","","COMPLETED","6TH DIVISION","611","HIGHWAY / ROAD / ALLEY","PHILLIPS LN / PRESTON HWY                                   ","LOUISVILLE","40213","1197394"
"80-17-011842","2017-02-10 17:20:48","2017-02-09 22:30:00","CRIMINAL MISCHIEF-3RD DEGREE","VANDALISM","290","PART II","COMPLETED","5TH DIVISION","512","HIGHWAY / ROAD / ALLEY","1500 BLOCK CHRISTY AVE                                      ","LOUISVILLE","40204","1197395"
"80-17-011839","2017-02-10 08:00:00","2017-02-09 18:00:00","BURGLARY - 3RD DEGREE","BURGLARY","220","PART I","COMPLETED","5TH DIVISION","521","DEPARTMENT / DISCOUNT STORE","2400 BLOCK FRANKFORT AVE                                    ","LOUISVILLE","40206","1197396"
"80-17-011841","2017-02-10 17:22:53","2017-02-09 20:11:53","TBUT OR DISP CONTENTS FROM VEH < $500","VEHICLE BREAK-IN/THEFT","23F","PART I","COMPLETED","6TH DIVISION","611","HOTEL / MOTEL / ETC.","3300 BLOCK PRESTON HWY                                      ","LOUISVILLE","40213","1197397"
"80-17-011043","2017-02-07 15:07:00","2017-02-07 07:00:00","BURGLARY - 2ND DEGREE","BURGLARY","220","PART I","COMPLETED","2ND DIVISION","234","RESIDENCE / HOME","1800 BLOCK RATCLIFFE AVE                                    ","LOUISVILLE","40210","1197398"
"80-17-010979","2017-02-07 12:55:00","2017-01-15 12:00:00","BURGLARY - 2ND DEGREE","BURGLARY","220","PART I","COMPLETED","2ND DIVISION","225","RESIDENCE / HOME","2300 BLOCK W LEE ST                                         ","LOUISVILLE","40210","1197399"
"80-17-011601","2017-02-09 12:28:00","2017-02-05 12:28:00","FRAUDULENT USE OF CREDIT CARDS U/$10,000","FRAUD","26B","PART II","COMPLETED","4TH DIVISION","412","SERVICE / GAS STATION","2200 BLOCK ARTHUR ST                                        ","LOUISVILLE","40208","1197400"
"80-17-011299","2017-02-08 11:30:00","2017-02-07 17:00:00","CRIMINAL MISCHIEF-3RD DEGREE","VANDALISM","290","PART II","COMPLETED","2ND DIVISION","211","RESIDENCE / HOME","200 BLOCK N LONGWORTH AVE                                   ","LOUISVILLE","40212","1197401"
"80-17-011436","2017-02-08 18:32:00","2017-02-08 18:32:00","NARC INVESTIGATION PENDING","OTHER","999","","COMPLETED","4TH DIVISION","411","OTHER / UNKNOWN","700 BLOCK W ORMSBY AVE                                      ","LOUISVILLE","40203","1197402"
"80-17-011849","2017-02-10 08:24:00","2017-01-17 09:00:00","TBUT OR DISP FROM BUILDING < $500","THEFT/LARCENY","23D","PART I","COMPLETED","4TH DIVISION","424","OTHER RESIDENCE (APARTMENT/CONDO)","4300 BLOCK S 3RD ST                                         ","LOUISVILLE","40214","1197403"
"80-17-011452","2017-02-08 19:55:00","2017-02-08 19:55:00","NARC INVESTIGATION PENDING","OTHER","999","","COMPLETED","4TH DIVISION","423","OTHER / UNKNOWN","600 BLOCK INDUSTRY RD                                       ","LOUISVILLE","40208","1197404"
"80-17-011513","2017-02-09 00:29:00","2017-02-08 17:00:00","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","412","RESIDENCE / HOME","300 BLOCK E ST CATHERINE ST                                 ","LOUISVILLE","40203","1197405"
"80-17-011504","2017-02-09 00:03:00","2017-02-09 00:03:00","NARC INVESTIGATION PENDING","OTHER","999","","COMPLETED","5TH DIVISION","512","OTHER / UNKNOWN","800 BLOCK BARRET AVE                                        ","LOUISVILLE","40204","1197406"
"80-17-011865","2017-02-10 20:02:32","2017-02-09 14:22:00","FRAUDULENT USE OF CREDIT CARDS U/$10,000","FRAUD","26B","PART II","COMPLETED","7TH DIVISION","736","SPECIALTY STORE (TV, FUR, ETC)","8200 BLOCK PRESTON HWY                                      ","LOUISVILLE","40219","1197407"
"80-17-008462","2017-01-29 13:45:00","2017-01-29 13:45:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","4TH DIVISION","424","SERVICE / GAS STATION","4300 BLOCK S 3RD ST                                         ","LOUISVILLE","40214","1197408"
"80-17-011519","2017-02-09 01:14:00","2017-02-09 01:14:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","4TH DIVISION","411","OTHER / UNKNOWN","700 BLOCK W ORMSBY AVE                                      ","LOUISVILLE","40203","1197409"
"80-17-011513","2017-02-09 00:29:00","2017-02-08 17:00:00","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","412","RESIDENCE / HOME","300 BLOCK E ST CATHERINE ST                                 ","LOUISVILLE","40203","1197410"
"80-17-009261","2017-02-01 13:52:00","2017-02-01 13:52:00","SEE ACCIDENT MODULE","OTHER","999","","COMPLETED","4TH DIVISION","424","PARKING LOT / GARAGE","S 3RD ST / CENTRAL AVE                                      ","LOUISVILLE","40214","1197411"
"80-17-011567","2017-02-09 09:50:00","2017-02-09 08:57:00","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY","ASSAULT","13B","PART II","COMPLETED","8TH DIVISION","815","OTHER RESIDENCE (APARTMENT/CONDO)","1700 BLOCK WEST CREEK WAY                                   ","LYNDON","40242","1197412"
"80-17-011602","2017-02-09 12:29:00","2017-02-09 12:29:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","4TH DIVISION","423","OTHER / UNKNOWN","600 BLOCK INDUSTRY RD                                       ","LOUISVILLE","40208","1197413"
"80-17-009318","2017-02-01 17:59:00","2017-02-01 17:59:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","4TH DIVISION","412","HIGHWAY / ROAD / ALLEY","E OAK ST / RAMMERS AVE                                      ","LOUISVILLE","40204","1197414"
"80-17-011621","2017-02-09 14:13:00","2017-02-09 14:13:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","METRO LOUISVILLE","METRO","OTHER / UNKNOWN","COMMUNITY AT LARGE","LOUISVILLE","","1197415"
"80-17-011628","2017-02-09 14:34:00","2017-02-09 14:34:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","4TH DIVISION","423","OTHER / UNKNOWN","600 BLOCK INDUSTRY RD                                       ","LOUISVILLE","40208","1197416"
"80-17-009585","2017-02-02 15:55:00","2017-02-02 15:55:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","4TH DIVISION","424","AIR / BUS / TRAIN TERMINAL","S 4TH ST / WINKLER AVE                                      ","LOUISVILLE","40208","1197417"
"80-17-011761","2017-02-09 20:54:00","2017-02-09 20:54:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","4TH DIVISION","423","OTHER / UNKNOWN","600 BLOCK INDUSTRY RD                                       ","LOUISVILLE","40208","1197418"
"80-17-011768","2017-02-09 21:32:00","2017-02-09 21:32:00","NARC INVESTIGATION PENDING","OTHER","999","","COMPLETED","4TH DIVISION","411","OTHER / UNKNOWN","700 BLOCK W ORMSBY AVE                                      ","LOUISVILLE","40203","1197419"
"80-17-011041","2017-02-07 15:12:00","2017-02-07 15:00:00","TBUT OR DISP CONTENTS FROM VEH < $500","VEHICLE BREAK-IN/THEFT","23F","PART I","COMPLETED","1ST DIVISION","123","PARKING LOT / GARAGE","S 5TH ST / W LIBERTY ST                                     ","LOUISVILLE","40202","1197420"
"80-17-011495","2017-02-08 22:44:00","2017-02-08 22:32:00","HARASSMENT - PHYSICAL CONTACT - NO INJURY","ASSAULT","13B","PART II","COMPLETED","3RD DIVISION","334","OTHER RESIDENCE (APARTMENT/CONDO)","5300 BLOCK ERIKSSON LN                                      ","LOUISVILLE","40272","1197421"
"80-17-011495","2017-02-08 22:44:00","2017-02-08 22:32:00","TBUT OR DISP ALL OTHERS <  $500","THEFT/LARCENY","23H","PART I","COMPLETED","3RD DIVISION","334","OTHER RESIDENCE (APARTMENT/CONDO)","5300 BLOCK ERIKSSON LN                                      ","LOUISVILLE","40272","1197422"
"80-17-011884","2017-02-10 22:38:51","2017-02-10 22:04:51","TBUT OR DISP CONTENTS FROM VEH < $500","VEHICLE BREAK-IN/THEFT","23F","PART I","COMPLETED","1ST DIVISION","123","PARKING LOT / GARAGE","700 BLOCK W MARKET ST                                       ","LOUISVILLE","40202","1197423"
"80-17-011879","2017-02-10 09:13:00","2017-01-12 09:00:00","TERRORISTIC THREATENING 3RD DEGREE","ASSAULT","13C","PART II","COMPLETED","2ND DIVISION","212","RESIDENCE / HOME","4200 BLOCK GRAND AVE                                        ","LOUISVILLE","40211","1197424"
"80-17-011670","2017-02-09 16:09:00","2017-02-09 14:00:00","MISSING PERSONS","OTHER","90Z","PART II","COMPLETED","8TH DIVISION","824","OTHER RESIDENCE (APARTMENT/CONDO)","1000 BLOCK DORSEY LN                                        ","LOUISVILLE","40223","1197425"
"80-17-011878","2017-02-10 09:02:00","2017-02-09 22:00:00","BURGLARY - 3RD DEGREE","BURGLARY","220","PART I","COMPLETED","4TH DIVISION","423","NON-ATTACHED RESD GARAGE/SHED/BULD","3600 BLOCK LENTZ AVE                                        ","LOUISVILLE","40215","1197426"
"80-17-011657","2017-02-09 16:07:00","2016-12-13 15:00:00","BURGLARY - 3RD DEGREE","BURGLARY","220","PART I","COMPLETED","3RD DIVISION","315","RENTAL / STORAGE FACILITY","10000 BLOCK DIXIE HWY                                       ","LOUISVILLE","40272","1197427"
"80-17-011878","2017-02-10 09:02:00","2017-02-09 22:00:00","CRIMINAL MISCHIEF-3RD DEGREE","VANDALISM","290","PART II","COMPLETED","4TH DIVISION","423","NON-ATTACHED RESD GARAGE/SHED/BULD","3600 BLOCK LENTZ AVE                                        ","LOUISVILLE","40215","1197428"
"80-17-011769","2017-02-09 20:59:00","2017-02-09 19:30:00","MISSING PERSONS","OTHER","90Z","PART II","COMPLETED","4TH DIVISION","412","SCHOOL - COLLEGE / UNIVERSITY","200 BLOCK E BRANDEIS AVE                                    ","LOUISVILLE","40208","1197429"
"80-17-011892","2017-02-11 00:00:53","2017-02-09 16:00:00","UNAUTHORIZED USE OF MOTOR VEHICLE 1ST OFFENSE","MOTOR VEHICLE THEFT","240","PART I","COMPLETED","4TH DIVISION","436","RESIDENCE / HOME","200 BLOCK OTTAWA AVE                                        ","LOUISVILLE","40209","1197430"
"80-17-011901","2017-02-10 12:18:00","2016-10-01 12:18:00","HARASSING COMMUNICATIONS","OTHER","90Z","PART II","COMPLETED","1ST DIVISION","112","CYBERSPACE","600 BLOCK DR W J HODGE ST                                   ","LOUISVILLE","40203","1197432"
"80-17-010650","2017-02-06 08:19:00","2017-02-06 08:19:00","SUICIDE","OTHER","999","PART II","COMPLETED","3RD DIVISION","334","RESIDENCE / HOME","4400 BLOCK CASE WAY                                         ","LOUISVILLE","40272","1197433"
"80-17-010762","2017-02-06 16:49:00","2017-02-05 02:00:00","UNAUTHORIZED USE OF MOTOR VEHICLE 1ST OFFENSE","MOTOR VEHICLE THEFT","240","PART I","COMPLETED","3RD DIVISION","334","HIGHWAY / ROAD / ALLEY","GRECIAN RD / HANEY WAY                                      ","LOUISVILLE","40272","1197434"
"80-17-008199","2017-01-28 09:42:00","2017-01-28 09:42:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","5TH DIVISION","521","PARKING LOT / GARAGE","1000 BLOCK ZORN AVE                                         ","LOUISVILLE","40207","1197435"
"80-17-011915","2017-02-11 02:12:45","2017-02-09 17:00:00","TBUT OR DISP ALL OTHERS > $500 BUT < $10,000","THEFT/LARCENY","23H","PART I","COMPLETED","8TH DIVISION","824","RENTAL / STORAGE FACILITY","800 BLOCK N ENGLISH STATION RD                              ","LOUISVILLE","40223","1197436"
"80-17-011924","2017-02-10 12:41:00","2017-02-10 11:00:00","UNAUTHORIZED USE OF MOTOR VEHICLE 1ST OFFENSE","MOTOR VEHICLE THEFT","240","PART I","COMPLETED","7TH DIVISION","736","AUTO DEALERSHIP (NEW OR USED)","6900 BLOCK PRESTON HWY                                      ","LOUISVILLE","40219","1197437"
"80-17-009188","2017-02-01 10:06:00","2017-02-01 10:06:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","1000 BLOCK S 7TH ST                                         ","LOUISVILLE","40203","1197438"
"80-17-011762","2017-02-09 20:22:00","2017-02-09 20:22:00","POSS CONT SUB-1ST DEGREE-1ST OFFENSE-DRUG UNSPECIFIED","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","1ST DIVISION","112","HIGHWAY / ROAD / ALLEY","S 26TH ST / W BROADWAY                                      ","LOUISVILLE","40211","1197439"
"80-17-011752","2017-02-09 20:31:00","2017-02-09 19:30:00","TBUT OR DISP SHOPLIFTING $500 OR >  BUT < $10,000","THEFT/LARCENY","23C","PART I","COMPLETED","7TH DIVISION","735","DEPARTMENT / DISCOUNT STORE","4800 BLOCK OUTER LOOP                                       ","LOUISVILLE","40219","1197440"
"80-17-011614","2017-02-09 13:40:00","2017-02-09 13:29:00","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY","ASSAULT","13B","PART II","COMPLETED","5TH DIVISION","521","RESIDENCE / HOME","300 BLOCK KENILWORTH RD                                     ","LOUISVILLE","40206","1197441"
"80-17-011953","2017-02-10 15:06:00","2016-10-01 01:00:00","FRAUDULENT USE OF CREDIT CARDS U/$10,000","FRAUD","26B","PART II","COMPLETED","7TH DIVISION","724","OTHER / UNKNOWN","9200 BLOCK LANTANA DR                                       ","LOUISVILLE","40229","1197442"
"80-17-011950","2017-02-10 14:59:00","2017-02-10 14:59:00","NARC INVESTIGATION PENDING","OTHER","999","","COMPLETED","4TH DIVISION","411","OTHER / UNKNOWN","700 BLOCK W ORMSBY AVE                                      ","LOUISVILLE","40203","1197443"
"80-17-011981","2017-02-10 16:40:00","2017-02-10 15:30:00","TERRORISTIC THREATENING 3RD DEGREE","ASSAULT","13C","PART II","COMPLETED","2ND DIVISION","211","RESIDENCE / HOME","200 BLOCK AMY AVE                                           ","LOUISVILLE","40212","1197444"
"80-17-011985","2017-02-10 16:11:00","2016-11-14 09:00:00","FRAUDULENT USE OF CREDIT CARDS U/$10,000","FRAUD","26B","PART II","COMPLETED","7TH DIVISION","736","RESIDENCE / HOME","3600 BLOCK FOREMAN LN                                       ","LOUISVILLE","40219","1197445"
"80-17-011993","2017-02-11 10:02:57","2017-01-28 10:00:00","TBUT OR DISP CONTENTS FROM VEH < $500","VEHICLE BREAK-IN/THEFT","23F","PART I","COMPLETED","5TH DIVISION","525","OTHER RESIDENCE (APARTMENT/CONDO)","100 BLOCK FENLEY AVE                                        ","LOUISVILLE","40207","1197446"
"80-17-011975","2017-02-10 15:38:00","2017-02-10 14:53:00","CRIMINAL MISCHIEF-2ND DEGREE","VANDALISM","290","PART II","COMPLETED","3RD DIVISION","323","OTHER RESIDENCE (APARTMENT/CONDO)","400 BLOCK STOCKDALE RD                                      ","LOUISVILLE","40118","1197447"
"80-17-011995","2017-02-10 16:05:00","2017-02-10 10:30:00","BURGLARY - 2ND DEGREE","BURGLARY","220","PART I","COMPLETED","5TH DIVISION","512","RESIDENCE / HOME","1400 BLOCK E BRECKINRIDGE ST                                ","LOUISVILLE","40204","1197448"
"80-17-010945","2017-02-07 11:23:00","2016-05-05 11:23:00","UNAUTHORIZED PROCUREMENT OF CONT SUB","OTHER","90Z","PART II","COMPLETED","8TH DIVISION","815","DRUG STORE/DR`S OFFICE/HOSPITAL","9100 BLOCK LEESGATE RD                                      ","HURSTBOURNE","40222","1197449"
"80-17-010945","2017-02-07 11:23:00","2016-05-05 11:23:00","ILLEGAL POSSESSION OF PRESCRIPTION BLANKS - 1ST OFFENSE","THEFT/LARCENY","280","PART II","COMPLETED","8TH DIVISION","815","DRUG STORE/DR`S OFFICE/HOSPITAL","9100 BLOCK LEESGATE RD                                      ","HURSTBOURNE","40222","1197450"
"80-17-012028","2017-02-10 18:22:00","2017-02-07 14:00:00","BURGLARY - 2ND DEGREE","BURGLARY","220","PART I","COMPLETED","1ST DIVISION","111","RESIDENCE / HOME","600 BLOCK N 32ND ST                                         ","LOUISVILLE","40212","1197451"
"80-17-011994","2017-02-10 17:06:00","2017-02-10 17:06:00","DEATH INVESTIGATION","OTHER","90Z","PART II","COMPLETED","1ST DIVISION","135","DRUG STORE/DR`S OFFICE/HOSPITAL","500 BLOCK S JACKSON ST                                      ","LOUISVILLE","40202","1197452"
"80-17-012007","2017-02-11 11:20:19","2017-02-09 12:00:00","UNAUTHORIZED USE OF MOTOR VEHICLE 1ST OFFENSE","MOTOR VEHICLE THEFT","240","PART I","COMPLETED","7TH DIVISION","723","RESIDENCE / HOME","5500 BLOCK WHISPERING HILLS BLVD                            ","LOUISVILLE","40219","1197453"
"80-17-011226","2017-02-08 06:11:00","2017-02-08 06:11:00","TBUT OR DISP ALL OTHERS <  $500","FRAUD","270","PART II","COMPLETED","3RD DIVISION","316","HIGHWAY / ROAD / ALLEY","6800 BLOCK LANDSTAR DR                                      ","LOUISVILLE","40272","1197454"
"80-17-003500","2017-01-12 11:15:00","2017-01-12 10:30:00","MISSING PERSONS","OTHER","90Z","PART II","COMPLETED","1ST DIVISION","123","GOVERNMENT / PUBLIC BUILDING","600 BLOCK W JEFFERSON ST                                    ","LOUISVILLE","40202","1197455"
"80-17-000970","2017-01-03 20:36:00","2017-01-03 20:36:00","TRAF CONT SUB-1ST DEG 1ST OFF (>= 4 GRAMS COCAINE)","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","4TH DIVISION","411","OTHER RESIDENCE (APARTMENT/CONDO)","200 BLOCK YORK ST                                           ","LOUISVILLE","40203","1197457"
"80-17-010434","2017-02-05 10:41:00","2017-02-05 10:41:00","POSS CONT SUB-1ST DEGREE-1ST OFFENSE-HEROIN","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","7TH DIVISION","736","PARKING LOT / GARAGE","6500 BLOCK SIGNATURE DR                                     ","LOUISVILLE","40213","1197458"
